,Date,City,Raw Number of Posts,Residual After Controlling for Time,Good Sunset
San_Francisco2015-12-11,2015-12-11,San_Francisco,103,-0.2961412525614776,0.0
San_Francisco2015-12-12,2015-12-12,San_Francisco,76,-0.44486161027324567,0.0
San_Francisco2015-12-13,2015-12-13,San_Francisco,86,-0.6498596519531582,0.0
San_Francisco2015-12-14,2015-12-14,San_Francisco,165,0.11199542415727581,0.0
San_Francisco2015-12-15,2015-12-15,San_Francisco,101,-0.2124214775022908,0.0
San_Francisco2015-12-16,2015-12-16,San_Francisco,40,-0.6167077933980827,0.0
San_Francisco2015-12-17,2015-12-17,San_Francisco,57,-0.49189637889114324,0.0
San_Francisco2015-12-18,2015-12-18,San_Francisco,27,-0.7702532419412004,0.0
San_Francisco2015-12-25,2015-12-25,San_Francisco,179,0.16020230629657672,0.0
San_Francisco2015-12-26,2015-12-26,San_Francisco,163,0.07830834166235778,0.0
San_Francisco2015-12-27,2015-12-27,San_Francisco,194,0.001966663751213904,0.0
San_Francisco2015-12-28,2015-12-28,San_Francisco,137,-0.0774160382020217,0.0
San_Francisco2015-12-29,2015-12-29,San_Francisco,149,0.06662183817991874,0.0
San_Francisco2015-12-30,2015-12-30,San_Francisco,78,-0.40044123019801514,0.0
San_Francisco2015-12-31,2015-12-31,San_Francisco,198,0.35969099660910553,0.0
San_Francisco2016-01-01,2016-01-01,San_Francisco,245,0.5560475452450595,1.0
San_Francisco2016-01-02,2016-01-02,San_Francisco,141,-0.0698387742146338,0.0
San_Francisco2016-01-03,2016-01-03,San_Francisco,86,-0.6778920483022909,0.0
San_Francisco2016-01-04,2016-01-04,San_Francisco,62,-0.55374599395618,0.0
San_Francisco2016-01-05,2016-01-05,San_Francisco,83,-0.3544367682820777,0.0
San_Francisco2016-01-06,2016-01-06,San_Francisco,64,-0.5005788583912338,0.0
San_Francisco2016-01-07,2016-01-07,San_Francisco,79,-0.3893825655135643,0.0
San_Francisco2016-01-09,2016-01-09,San_Francisco,50,-0.6464987641361967,0.0
San_Francisco2016-01-10,2016-01-10,San_Francisco,72,-0.7790377385811675,0.0
San_Francisco2016-01-11,2016-01-11,San_Francisco,83,-0.43891460581356334,0.0
San_Francisco2016-01-12,2016-01-12,San_Francisco,48,-0.5857176058996293,0.0
San_Francisco2016-01-14,2016-01-14,San_Francisco,62,-0.5097998387523675,0.0
San_Francisco2016-01-15,2016-01-15,San_Francisco,102,-0.35705241001443144,0.0
San_Francisco2016-01-16,2016-01-16,San_Francisco,53,-0.6435192793733491,0.0
San_Francisco2016-01-17,2016-01-17,San_Francisco,54,-0.9059175904151371,0.0
San_Francisco2016-01-18,2016-01-18,San_Francisco,54,-0.6337957106395653,0.0
San_Francisco2016-01-23,2016-01-23,San_Francisco,128,-0.19593621450243714,0.0
San_Francisco2016-01-24,2016-01-24,San_Francisco,237,0.20891343515286565,0.0
San_Francisco2016-01-25,2016-01-25,San_Francisco,138,-0.13050668263837495,0.0
San_Francisco2016-01-26,2016-01-26,San_Francisco,126,-0.13520819618444901,0.0
San_Francisco2016-01-27,2016-01-27,San_Francisco,170,0.10775108957277468,0.0
San_Francisco2016-01-28,2016-01-28,San_Francisco,74,-0.46686183825100175,0.0
San_Francisco2016-01-29,2016-01-29,San_Francisco,52,-0.6969951469238052,0.0
San_Francisco2016-01-30,2016-01-30,San_Francisco,45,-0.7238858951582405,0.0
San_Francisco2016-01-31,2016-01-31,San_Francisco,175,-0.18916836545368976,0.0
San_Francisco2016-02-01,2016-02-01,San_Francisco,171,0.058432837696050344,0.0
San_Francisco2016-02-02,2016-02-02,San_Francisco,134,-0.1005753635427562,0.0
San_Francisco2016-02-03,2016-02-03,San_Francisco,163,0.04985535185867551,0.0
San_Francisco2016-02-04,2016-02-04,San_Francisco,218,0.408251539521429,0.0
San_Francisco2016-02-05,2016-02-05,San_Francisco,178,0.06705752946663979,0.0
San_Francisco2016-02-06,2016-02-06,San_Francisco,393,1.4117957605212474,1.0
San_Francisco2016-02-07,2016-02-07,San_Francisco,223,0.0933622867710946,0.0
San_Francisco2016-02-08,2016-02-08,San_Francisco,277,0.6994432026007282,1.0
San_Francisco2016-02-09,2016-02-09,San_Francisco,365,1.3128511078580956,1.0
San_Francisco2016-02-10,2016-02-10,San_Francisco,176,0.11673258204774606,0.0
San_Francisco2016-02-11,2016-02-11,San_Francisco,237,0.512392437908959,1.0
San_Francisco2016-02-12,2016-02-12,San_Francisco,287,0.7273914851867846,1.0
San_Francisco2016-02-13,2016-02-13,San_Francisco,423,1.5842840867806278,1.0
San_Francisco2016-02-14,2016-02-14,San_Francisco,433,1.3780648364672072,1.0
San_Francisco2016-02-15,2016-02-15,San_Francisco,556,2.4106294637528682,1.0
San_Francisco2016-02-16,2016-02-16,San_Francisco,304,0.9237963662137076,1.0
San_Francisco2016-02-17,2016-02-17,San_Francisco,124,-0.21650780452156437,0.0
San_Francisco2016-02-18,2016-02-18,San_Francisco,147,-0.05541342111169556,0.0
San_Francisco2016-02-19,2016-02-19,San_Francisco,65,-0.6556394445097473,0.0
San_Francisco2016-02-20,2016-02-20,San_Francisco,272,0.6400831165176899,1.0
San_Francisco2016-02-21,2016-02-21,San_Francisco,300,0.545269781463096,1.0
San_Francisco2016-02-22,2016-02-22,San_Francisco,209,0.25600338442172066,0.0
San_Francisco2016-02-23,2016-02-23,San_Francisco,281,0.7709846274546508,1.0
San_Francisco2016-02-24,2016-02-24,San_Francisco,205,0.2733424366463253,0.0
San_Francisco2016-02-25,2016-02-25,San_Francisco,202,0.2740389078702852,0.0
San_Francisco2016-02-26,2016-02-26,San_Francisco,95,-0.4804360481196246,0.0
San_Francisco2016-02-27,2016-02-27,San_Francisco,191,0.12977461151233305,0.0
San_Francisco2016-02-28,2016-02-28,San_Francisco,290,0.47377229029117607,1.0
San_Francisco2016-02-29,2016-02-29,San_Francisco,792,3.84809554161785,1.0
San_Francisco2016-03-01,2016-03-01,San_Francisco,209,0.3168233325248797,0.0
San_Francisco2016-03-02,2016-03-02,San_Francisco,114,-0.2979878161715992,0.0
San_Francisco2016-03-03,2016-03-03,San_Francisco,26,-0.8221954162591075,0.0
San_Francisco2016-03-09,2016-03-09,San_Francisco,174,0.06476376589375499,0.0
San_Francisco2016-03-10,2016-03-10,San_Francisco,69,-0.5643152188730413,0.0
San_Francisco2016-03-11,2016-03-11,San_Francisco,64,-0.6883139194840535,0.0
San_Francisco2016-03-12,2016-03-12,San_Francisco,62,-0.683194555443069,0.0
San_Francisco2016-03-13,2016-03-13,San_Francisco,75,-0.8701404562497039,0.0
San_Francisco2016-03-14,2016-03-14,San_Francisco,134,-0.25630416615062424,0.0
San_Francisco2016-03-15,2016-03-15,San_Francisco,186,0.13674057703335452,0.0
San_Francisco2016-03-18,2016-03-18,San_Francisco,138,-0.257325255265638,0.0
San_Francisco2016-03-19,2016-03-19,San_Francisco,122,-0.33744291157112594,0.0
San_Francisco2016-03-20,2016-03-20,San_Francisco,153,-0.41196112312011746,0.0
San_Francisco2016-03-21,2016-03-21,San_Francisco,13,-1.0021747508560785,0.0
San_Francisco2016-04-05,2016-04-05,San_Francisco,197,0.2123021357378181,0.0
San_Francisco2016-04-06,2016-04-06,San_Francisco,716,3.392391986582239,1.0
San_Francisco2016-04-07,2016-04-07,San_Francisco,178,0.08994754762632362,0.0
San_Francisco2016-04-08,2016-04-08,San_Francisco,93,-0.5266938398922176,0.0
San_Francisco2016-04-09,2016-04-09,San_Francisco,72,-0.6373591763181468,0.0
San_Francisco2016-04-10,2016-04-10,San_Francisco,74,-0.8906864886700214,0.0
San_Francisco2016-04-11,2016-04-11,San_Francisco,112,-0.3809223831672691,0.0
San_Francisco2016-04-12,2016-04-12,San_Francisco,141,-0.12950989450297112,0.0
San_Francisco2016-04-13,2016-04-13,San_Francisco,126,-0.2482177853411972,0.0
San_Francisco2016-04-14,2016-04-14,San_Francisco,163,0.001653062493066848,0.0
San_Francisco2016-04-15,2016-04-15,San_Francisco,168,-0.05888935964335906,0.0
San_Francisco2016-04-16,2016-04-16,San_Francisco,478,1.875404867262695,1.0
San_Francisco2016-04-17,2016-04-17,San_Francisco,377,0.9858855077924531,1.0
San_Francisco2016-04-18,2016-04-18,San_Francisco,231,0.35906067230281913,0.0
San_Francisco2016-04-19,2016-04-19,San_Francisco,197,0.22139069107049592,0.0
